Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC
2014;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;9;85;3;ns;ns;ns;ns;ns;ns;15.00;9.4;1800;ns;ns;ns;1430;2130;Mulhouse - Haute Alsace_18;disc11_18
2014;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;149;84;49;88;81;66;100;1580;24600;15.00;9.4;1800;13;23;15;1430;2130;Mulhouse - Haute Alsace_18;disc12_18
2014;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;12;93;4;ns;ns;ns;ns;ns;ns;15.00;9.4;1800;ns;ns;ns;1430;2130;Mulhouse - Haute Alsace_18;disc14_18
2014;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;79;78;27;89;80;69;100;1610;25100;15.00;9.4;1800;13;14;7;1430;2130;Mulhouse - Haute Alsace_18;disc15_18
2014;LICENCE PRO;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;69;76;13;94;78;70;97;1550;24200;7.00;8.2;1830;11;11;36;1470;2180;Lyon 1 - Claude Bernard_18;disc04_18
2014;LICENCE PRO;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;440;81;80;96;91;80;98;1730;27000;7.00;8.2;1830;13;27;29;1470;2180;Lyon 1 - Claude Bernard_30;disc12_30
2014;LICENCE PRO;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;31;85;6;87;ns;ns;ns;ns;ns;7.00;8.2;1830;ns;16;25;1470;2180;Lyon 1 - Claude Bernard_18;disc16_18
2014;LICENCE PRO;0691775E;Lyon 2 - Lumière;A10;Lyon;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;Université dont les résultats sont plus fragiles (taux de réponse inférieur à 50%);21;62;14;ns;ns;ns;ns;ns;ns;12.00;8.2;1830;ns;ns;ns;1470;2180;Lyon 2 - Lumière_30;disc07_30
2014;LICENCE PRO;0691775E;Lyon 2 - Lumière;A10;Lyon;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;Université dont les résultats sont plus fragiles (taux de réponse inférieur à 50%);10;58;7;ns;ns;ns;ns;ns;ns;12.00;8.2;1830;ns;ns;ns;1470;2180;Lyon 2 - Lumière_30;disc10_30
2014;LICENCE PRO;0692437Z;Lyon 3 - Jean Moulin;A10;Lyon;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;268;70;91;94;96;94;96;1690;26400;6.00;8.2;1830;14;26;70;1470;2180;Lyon 3 - Jean Moulin_30;disc01_30
