Annee;Diplôme;Numéro de l'établissement;Etablissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux d'insertion;% emplois stables;% emplois à  temps plein;Salaire brut annuel estimé;% de diplômés boursiers;% emplois cadre;% emplois extérieurs à  la région de l'université;% femmes;cle_ETAB;cle_DISC
2010;MASTER LMD;0593560Z;Lille 2 - Droit et santé;A09;Lille;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;93;80;93;29600;26.00;35;29;nd;Lille 2 - Droit et santé_30;disc12_30
2010;MASTER LMD;0593560Z;Lille 2 - Droit et santé;A09;Lille;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;93;80;93;29600;26.00;35;29;nd;Lille 2 - Droit et santé_30;disc17_30
2011;MASTER LMD;0593561A;Lille 3 - Charles-de-Gaulle;A09;Lille;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;86;62;85;25000;40.00;35;29;84;Lille 3 - Charles-de-Gaulle_30;disc06_30
2010;MASTER LMD;0341087X;Montpellier 1;A11;Montpellier;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;89;71;91;31600;29.00;35;28;nd;Montpellier 1_30;disc12_30
2011;MASTER LMD;0341087X;Montpellier 1;A11;Montpellier;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;92;87;98;33800;38.00;35;28;53;Montpellier 1_30;disc04_30
2014;LICENCE PRO;0911101C;Paris 11 - Paris Sud;A25;Versailles;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;95;89;100;26900;10.00;35;28;66;Paris 11 - Paris Sud_30;disc14_30
2014;LICENCE PRO;0911101C;Paris 11 - Paris Sud;A25;Versailles;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;95;83;99;25000;10.00;35;28;66;Paris 11 - Paris Sud_18;disc14_18
2012;MASTER LMD;0931238R;Paris 13 - Paris Nord;A24;Créteil;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;90;67;85;28200;30.00;35;28;78;Paris 13 - Paris Nord_30;disc07_30
2012;MASTER LMD;0931238R;Paris 13 - Paris Nord;A24;Créteil;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;86;44;79;26500;30.00;35;28;78;Paris 13 - Paris Nord_18;disc07_18
2010;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;94;62;86;25400;21.00;35;28;nd;Paris 3 - Sorbonne Nouvelle_30;disc06_30
2012;MASTER LMD;0751720M;Paris 4 - Sorbonne;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;94;75;96;33200;18.00;35;28;71;Paris 4 - Sorbonne_30;disc10_30
2012;MASTER ENS;0751720M;Paris 4 - Sorbonne;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;99;95;96;26500;31.00;35;28;93;Paris 4 - Sorbonne_30;disc18_30
2012;MASTER ENS;0751720M;Paris 4 - Sorbonne;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;98;92;95;26500;31.00;35;28;93;Paris 4 - Sorbonne_18;disc18_18
2012;MASTER LMD;0751720M;Paris 4 - Sorbonne;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;84;70;96;31000;18.00;35;28;71;Paris 4 - Sorbonne_18;disc10_18
2010;MASTER LMD;0751723R;Paris 7 - Denis Diderot;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;95;68;98;32500;16.00;35;28;nd;Paris 7 - Denis Diderot_30;disc12_30
2010;MASTER LMD;0751721N;Paris René Descartes;A01;Paris;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;96;58;58;26500;21.00;35;28;nd;Paris René Descartes_30;disc09_30
2011;MASTER LMD;0311382J;Toulouse 1 - Capitole;A16;Toulouse;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;91;78;99;28600;31.00;35;28;78;Toulouse 1 - Capitole_30;disc02_30
2011;MASTER ENS;0290346U;Brest - Bretagne occidentale;A14;Rennes;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;97;82;86;26100;39.00;35;28;80;Brest - Bretagne occidentale_30;disc18_30
2013;MASTER LMD;0911975C;Evry Val-d'Essonne;A25;Versailles;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;86;85;98;34200;18.00;35;28;28;Evry Val-d'Essonne_18;disc12_18
2013;MASTER LMD;0911975C;Evry Val-d'Essonne;A25;Versailles;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;91;86;98;34300;18.00;35;28;28;Evry Val-d'Essonne_30;disc12_30
2012;MASTER LMD;0593559Y;Lille 1 - Sciences technologies;A09;Lille;DEG;Droit, économie et gestion;disc03;Economie;18 mois après le diplôme;84;66;93;29600;27.00;35;28;55;Lille 1 - Sciences technologies_18;disc03_18
2012;MASTER LMD;0593559Y;Lille 1 - Sciences technologies;A09;Lille;DEG;Droit, économie et gestion;disc03;Economie;30 mois après le diplôme;87;76;97;30400;27.00;35;28;55;Lille 1 - Sciences technologies_30;disc03_30
2012;MASTER LMD;0542493S;Lorraine;A12;Nancy-Metz;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;89;73;98;31200;30.00;35;28;19;Lorraine_18;disc15_18
2012;MASTER LMD;0542493S;Lorraine;A12;Nancy-Metz;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;93;85;98;33800;30.00;35;28;19;Lorraine_30;disc15_30
2011;MASTER ENS;0060931E;Nice - Sophia-Antipolis;A23;Nice;MEEF;Masters enseignement;disc19;Masters enseignement : premier degré;30 mois après le diplôme;94;86;89;26400;25.00;35;28;91;Nice - Sophia-Antipolis_30;disc19_30
2014;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;88;63;80;25000;26.00;35;28;81;Paris 3 - Sorbonne Nouvelle_18;disc06_18
2014;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;90;70;84;26500;26.00;35;28;81;Paris 3 - Sorbonne Nouvelle_30;disc06_30
2013;MASTER LMD;0931827F;Paris 8 - Vincennes Saint-Denis;A24;Créteil;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;78;57;78;23900;26.00;35;28;79;Paris 8 - Vincennes Saint-Denis_18;disc07_18
2013;MASTER LMD;0931827F;Paris 8 - Vincennes Saint-Denis;A24;Créteil;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;96;66;85;26400;26.00;35;28;79;Paris 8 - Vincennes Saint-Denis_30;disc07_30
2012;MASTER LMD;0761904G;Rouen;A21;Rouen;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;91;78;96;31600;37.00;35;28;28;Rouen_30;disc12_30
2012;MASTER LMD;0761904G;Rouen;A21;Rouen;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;83;60;96;28900;37.00;35;28;28;Rouen_18;disc12_18
2011;MASTER LMD;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;95;82;96;30500;31.00;34;28;51;Saint-Etienne - Jean Monnet_30;disc01_30
2013;LICENCE PRO;0311384L;Toulouse 3 - Paul Sabatier;A16;Toulouse;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;95;81;99;24400;25.00;34;28;53;Toulouse 3 - Paul Sabatier_30;disc01_30
2013;LICENCE PRO;0311384L;Toulouse 3 - Paul Sabatier;A16;Toulouse;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;88;75;96;23300;25.00;34;28;53;Toulouse 3 - Paul Sabatier_18;disc01_18
2014;MASTER LMD;0801344B;Amiens - Picardie Jules-Verne;A20;Amiens;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;98;55;85;26900;33.00;34;28;47;Amiens - Picardie Jules-Verne_18;disc07_18
2014;MASTER LMD;0801344B;Amiens - Picardie Jules-Verne;A20;Amiens;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;91;76;89;29300;33.00;34;28;47;Amiens - Picardie Jules-Verne_30;disc07_30
